Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.070,-415233.000000,-406193.000000,-271381.000000,1057.000000,-226139.000000,-124235.000000,-304398.000000,-174902.000000,-1105.000000,-397515.000000
10:00:00.170,-415432.000000,-406193.000000,-271312.000000,1096.000000,-226035.000000,-124206.000000,-304143.000000,-174929.000000,-1135.000000,-397467.000000
10:00:00.270,-415512.000000,-406155.000000,-271339.000000,1102.000000,-225959.000000,-124013.000000,-303940.000000,-174987.000000,-1107.000000,-397494.000000
10:00:00.371,-415689.000000,-406209.000000,-271265.000000,1088.000000,-225857.000000,-123984.000000,-303645.000000,-174910.000000,-1103.000000,-397502.000000
10:00:00.459,-415941.000000,-406215.000000,-271309.000000,1095.000000,-225799.000000,-124078.000000,-303553.000000,-174954.000000,-1124.000000,-397451.000000
10:00:00.559,-416151.000000,-406304.000000,-271313.000000,1094.000000,-225677.000000,-124159.000000,-303520.000000,-174996.000000,-1108.000000,-397415.000000
10:00:00.659,-416293.000000,-406237.000000,-271450.000000,1092.000000,-225621.000000,-124164.000000,-303447.000000,-175027.000000,-1070.000000,-397382.000000
10:00:00.751,-416452.000000,-406189.000000,-271283.000000,1107.000000,-225563.000000,-124151.000000,-303376.000000,-175026.000000,-1091.000000,-397394.000000
10:00:00.849,-416481.000000,-406179.000000,-271353.000000,1132.000000,-225549.000000,-124119.000000,-303336.000000,-175118.000000,-1086.000000,-397332.000000
10:00:00.949,-416536.000000,-406166.000000,-271263.000000,1122.000000,-225496.000000,-124161.000000,-303319.000000,-175186.000000,-1074.000000,-397216.000000
10:00:01.050,-416555.000000,-406206.000000,-271289.000000,1101.000000,-225431.000000,-124138.000000,-303246.000000,-175204.000000,-1070.000000,-397185.000000
10:00:01.139,-416421.000000,-406250.000000,-271253.000000,1059.000000,-225371.000000,-124098.000000,-303211.000000,-175262.000000,-1090.000000,-397150.000000
