Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.074,-340068.000000,-352381.000000,-420510.000000,1501.000000,-121065.000000,-86899.000000,-270261.000000,-130513.000000,-1137.000000,-353350.000000
10:00:00.174,-340055.000000,-352523.000000,-420411.000000,1466.000000,-120760.000000,-86952.000000,-270216.000000,-130562.000000,-1064.000000,-353478.000000
10:00:00.274,-340088.000000,-352704.000000,-420307.000000,1468.000000,-120983.000000,-87081.000000,-270126.000000,-130754.000000,-1092.000000,-353622.000000
10:00:00.365,-340060.000000,-352885.000000,-420567.000000,1510.000000,-120952.000000,-87206.000000,-270166.000000,-130926.000000,-1084.000000,-353776.000000
10:00:00.465,-340067.000000,-353002.000000,-420839.000000,1470.000000,-120962.000000,-87346.000000,-270216.000000,-131125.000000,-1095.000000,-353754.000000
10:00:00.564,-340185.000000,-353130.000000,-420784.000000,1488.000000,-121137.000000,-87513.000000,-270343.000000,-131152.000000,-1138.000000,-353680.000000
10:00:00.655,-340154.000000,-353212.000000,-420763.000000,1514.000000,-120480.000000,-87567.000000,-270449.000000,-131176.000000,-1137.000000,-353706.000000
10:00:00.754,-340300.000000,-353282.000000,-420770.000000,1462.000000,-121252.000000,-87694.000000,-270506.000000,-131148.000000,-1122.000000,-353766.000000
10:00:00.855,-340285.000000,-353301.000000,-420818.000000,1481.000000,-120191.000000,-87744.000000,-270498.000000,-131155.000000,-1163.000000,-353846.000000
10:00:00.955,-340516.000000,-353329.000000,-420776.000000,1469.000000,-120960.000000,-87817.000000,-270509.000000,-131182.000000,-1157.000000,-353905.000000
10:00:01.044,-340514.000000,-353339.000000,-420798.000000,1450.000000,-120017.000000,-87817.000000,-270570.000000,-131148.000000,-1112.000000,-353956.000000
10:00:01.144,-340638.000000,-353314.000000,-420859.000000,1470.000000,-120964.000000,-87813.000000,-270602.000000,-131134.000000,-1067.000000,-353930.000000
10:00:01.245,-340742.000000,-353366.000000,-420697.000000,1488.000000,-120603.000000,-87851.000000,-270649.000000,-131169.000000,-1063.000000,-353783.000000
10:00:01.335,-340733.000000,-353399.000000,-420832.000000,1462.000000,-121222.000000,-87873.000000,-270735.000000,-131137.000000,-1089.000000,-353649.000000
10:00:01.435,-340800.000000,-353544.000000,-420639.000000,1420.000000,-119976.000000,-87923.000000,-270742.000000,-131171.000000,-1125.000000,-353546.000000
10:00:01.534,-340698.000000,-353755.000000,-420743.000000,1444.000000,-120945.000000,-87918.000000,-270676.000000,-131268.000000,-1075.000000,-353493.000000
10:00:01.634,-340687.000000,-353939.000000,-420650.000000,1469.000000,-120396.000000,-87903.000000,-270646.000000,-131676.000000,-1144.000000,-353504.000000
10:00:01.724,-340604.000000,-354128.000000,-420737.000000,1526.000000,-120763.000000,-87806.000000,-270658.000000,-132231.000000,-1144.000000,-353538.000000
10:00:01.824,-340525.000000,-354097.000000,-420707.000000,1471.000000,-121109.000000,-87702.000000,-270654.000000,-132784.000000,-1128.000000,-353573.000000
10:00:01.925,-340576.000000,-354123.000000,-420711.000000,1444.000000,-120245.000000,-87695.000000,-270710.000000,-133229.000000,-1109.000000,-353608.000000
10:00:02.024,-340537.000000,-354164.000000,-420684.000000,1450.000000,-121014.000000,-87626.000000,-270740.000000,-133535.000000,-1073.000000,-353616.000000
10:00:02.115,-340583.000000,-354204.000000,-420682.000000,1413.000000,-119959.000000,-87593.000000,-270770.000000,-133813.000000,-1091.000000,-353679.000000
10:00:02.215,-340487.000000,-354114.000000,-420660.000000,1420.000000,-121001.000000,-87539.000000,-270835.000000,-134064.000000,-1151.000000,-353689.000000
10:00:02.315,-340457.000000,-354112.000000,-420627.000000,1437.000000,-120290.000000,-87489.000000,-270921.000000,-134212.000000,-1153.000000,-353750.000000
