Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.048,-298469.000000,-269954.000000,-334049.000000,1648.000000,-38798.000000,-63996.000000,-237213.000000,-121548.000000,-1193.000000,-272766.000000
10:00:00.147,-298584.000000,-269957.000000,-333927.000000,1617.000000,-38725.000000,-63915.000000,-237241.000000,-121573.000000,-1166.000000,-272720.000000
10:00:00.237,-298660.000000,-269885.000000,-333917.000000,1628.000000,-38454.000000,-63684.000000,-237343.000000,-121561.000000,-1189.000000,-272721.000000
10:00:00.337,-298619.000000,-269732.000000,-334093.000000,1602.000000,-39110.000000,-64098.000000,-237382.000000,-121408.000000,-1226.000000,-272577.000000
10:00:00.437,-298799.000000,-269815.000000,-334149.000000,1615.000000,-38621.000000,-63829.000000,-237507.000000,-121487.000000,-1234.000000,-272515.000000
10:00:00.529,-298910.000000,-269813.000000,-334352.000000,1631.000000,-38800.000000,-64215.000000,-237537.000000,-121541.000000,-1240.000000,-272459.000000
10:00:00.628,-299439.000000,-269655.000000,-334681.000000,1637.000000,-38504.000000,-63217.000000,-237594.000000,-121732.000000,-1208.000000,-272368.000000
10:00:00.728,-298969.000000,-269671.000000,-334885.000000,1614.000000,-39951.000000,-65025.000000,-237260.000000,-121548.000000,-1234.000000,-272174.000000
10:00:00.827,-301167.000000,-269450.000000,-334550.000000,1626.000000,-37786.000000,-62472.000000,-237480.000000,-121915.000000,-1131.000000,-271737.000000
10:00:00.917,-299684.000000,-269633.000000,-334752.000000,1582.000000,-40046.000000,-63914.000000,-238447.000000,-121649.000000,-1159.000000,-271588.000000
10:00:01.017,-298995.000000,-269562.000000,-334508.000000,1551.000000,-38863.000000,-64700.000000,-237317.000000,-121691.000000,-1160.000000,-272446.000000
10:00:01.118,-299687.000000,-269565.000000,-334670.000000,1588.000000,-39634.000000,-63701.000000,-237627.000000,-121600.000000,-1168.000000,-272394.000000
10:00:01.217,-299486.000000,-269493.000000,-334587.000000,1598.000000,-39199.000000,-64525.000000,-236883.000000,-121434.000000,-1218.000000,-272530.000000
10:00:01.308,-300515.000000,-269482.000000,-334783.000000,1604.000000,-39709.000000,-64212.000000,-237342.000000,-121577.000000,-1250.000000,-272193.000000
10:00:01.408,-300251.000000,-269507.000000,-334849.000000,1619.000000,-39311.000000,-63937.000000,-237236.000000,-121593.000000,-1210.000000,-272301.000000
10:00:01.507,-300158.000000,-269499.000000,-334848.000000,1629.000000,-39710.000000,-64501.000000,-237198.000000,-121456.000000,-1224.000000,-272468.000000
10:00:01.597,-299952.000000,-269528.000000,-334613.000000,1597.000000,-39340.000000,-63777.000000,-236974.000000,-121424.000000,-1226.000000,-272633.000000
10:00:01.697,-300010.000000,-269630.000000,-334546.000000,1597.000000,-39450.000000,-64154.000000,-237152.000000,-121444.000000,-1274.000000,-272718.000000
10:00:01.797,-300089.000000,-269671.000000,-334386.000000,1666.000000,-39348.000000,-63727.000000,-237084.000000,-121492.000000,-1295.000000,-272790.000000
10:00:01.889,-299902.000000,-269764.000000,-334287.000000,1589.000000,-39344.000000,-64173.000000,-237176.000000,-121488.000000,-1251.000000,-272798.000000
10:00:01.988,-299973.000000,-269941.000000,-334201.000000,1549.000000,-39392.000000,-63902.000000,-237168.000000,-121516.000000,-1222.000000,-272824.000000
10:00:02.087,-299917.000000,-269994.000000,-334192.000000,1594.000000,-39386.000000,-63982.000000,-237286.000000,-121503.000000,-1218.000000,-272755.000000
10:00:02.179,-299894.000000,-270065.000000,-334049.000000,1621.000000,-39298.000000,-63889.000000,-237340.000000,-121436.000000,-1217.000000,-272576.000000
10:00:02.277,-299863.000000,-270052.000000,-334215.000000,1611.000000,-39297.000000,-63843.000000,-237524.000000,-121444.000000,-1230.000000,-272527.000000
10:00:02.378,-299791.000000,-269911.000000,-334242.000000,1638.000000,-39533.000000,-64264.000000,-237468.000000,-121443.000000,-1226.000000,-272538.000000
10:00:02.477,-299926.000000,-269877.000000,-334068.000000,1660.000000,-39268.000000,-64012.000000,-237338.000000,-121467.000000,-1194.000000,-272544.000000
10:00:02.568,-299904.000000,-269827.000000,-334240.000000,1675.000000,-38995.000000,-64590.000000,-237322.000000,-121573.000000,-1241.000000,-272642.000000
10:00:02.667,-299852.000000,-269834.000000,-334210.000000,1655.000000,-39290.000000,-64194.000000,-237039.000000,-121406.000000,-1260.000000,-272755.000000
10:00:02.767,-299757.000000,-269839.000000,-334227.000000,1634.000000,-39230.000000,-64701.000000,-237020.000000,-121341.000000,-1243.000000,-272925.000000
10:00:02.867,-299763.000000,-269719.000000,-334135.000000,1618.000000,-39024.000000,-64412.000000,-236951.000000,-121620.000000,-1254.000000,-272916.000000
10:00:02.957,-299288.000000,-269779.000000,-334122.000000,1612.000000,-39279.000000,-64778.000000,-237241.000000,-121550.000000,-1284.000000,-272725.000000
10:00:03.059,-299403.000000,-269707.000000,-334018.000000,1625.000000,-39124.000000,-63988.000000,-237358.000000,-121513.000000,-1250.000000,-272513.000000
10:00:03.158,-299631.000000,-269677.000000,-334084.000000,1613.000000,-38959.000000,-64590.000000,-237269.000000,-121151.000000,-1232.000000,-272458.000000
10:00:03.257,-299479.000000,-269866.000000,-334013.000000,1602.000000,-39337.000000,-64274.000000,-237161.000000,-121110.000000,-1170.000000,-272382.000000
10:00:03.347,-299493.000000,-270012.000000,-334026.000000,1638.000000,-39334.000000,-64536.000000,-236769.000000,-120934.000000,-1230.000000,-272347.000000
10:00:03.447,-299400.000000,-270083.000000,-333943.000000,1620.000000,-39332.000000,-64192.000000,-236962.000000,-120885.000000,-1231.000000,-272404.000000
10:00:03.547,-299523.000000,-270096.000000,-333974.000000,1639.000000,-39295.000000,-64124.000000,-237013.000000,-120850.000000,-1239.000000,-272310.000000
