RPM,0,-135,-45,-90,180
0,-5,,,,
700,-125,-93,-94,-115,-124
600,-87,-67,-66,-80,-87
500,-58,-44,-44,-54,-59
400,-33,-26,-27,-32,-35
300,-15,-11,-11,-14,-16
700,-124,-95,-90,-113,-125
