Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.054,-547988.000000,-553787.000000,-440724.000000,658.000000,-487306.000000,-307771.000000,-271204.000000,-409391.000000,-699.000000,-430925.000000
10:00:00.155,-548003.000000,-553821.000000,-440721.000000,680.000000,-487334.000000,-307680.000000,-271327.000000,-409272.000000,-707.000000,-430917.000000
10:00:00.255,-548043.000000,-554006.000000,-440553.000000,687.000000,-487271.000000,-307598.000000,-271469.000000,-409101.000000,-703.000000,-430891.000000
10:00:00.762,-548125.000000,-554186.000000,-440515.000000,727.000000,-487188.000000,-307603.000000,-271580.000000,-409033.000000,-740.000000,-430929.000000
10:00:00.767,-548101.000000,-554278.000000,-440612.000000,722.000000,-487099.000000,-307485.000000,-271620.000000,-408933.000000,-686.000000,-430983.000000
10:00:00.770,-548069.000000,-554323.000000,-440575.000000,656.000000,-486967.000000,-307341.000000,-271640.000000,-408943.000000,-696.000000,-431020.000000
10:00:00.775,-547986.000000,-554331.000000,-440636.000000,599.000000,-486807.000000,-307243.000000,-271573.000000,-408822.000000,-731.000000,-431100.000000
10:00:00.780,-547893.000000,-554306.000000,-440584.000000,650.000000,-486598.000000,-307172.000000,-271447.000000,-408757.000000,-727.000000,-431108.000000
10:00:00.835,-547763.000000,-554308.000000,-440541.000000,719.000000,-486371.000000,-307072.000000,-271386.000000,-408810.000000,-791.000000,-431136.000000
10:00:00.934,-547590.000000,-554426.000000,-440535.000000,698.000000,-486235.000000,-307069.000000,-271278.000000,-408887.000000,-723.000000,-431125.000000
10:00:01.026,-547461.000000,-554619.000000,-440519.000000,649.000000,-486181.000000,-306985.000000,-271129.000000,-408912.000000,-669.000000,-431100.000000
10:00:01.125,-547269.000000,-554615.000000,-440521.000000,666.000000,-486178.000000,-306880.000000,-271031.000000,-408946.000000,-730.000000,-431008.000000
10:00:01.224,-547096.000000,-554544.000000,-440575.000000,698.000000,-486051.000000,-306739.000000,-270894.000000,-408960.000000,-666.000000,-430999.000000
10:00:01.325,-546983.000000,-554559.000000,-440513.000000,685.000000,-485971.000000,-306710.000000,-270739.000000,-408902.000000,-647.000000,-430982.000000
10:00:01.415,-546939.000000,-554564.000000,-440404.000000,712.000000,-485862.000000,-306695.000000,-270597.000000,-408955.000000,-647.000000,-430912.000000
10:00:01.515,-547024.000000,-554565.000000,-440408.000000,664.000000,-485784.000000,-306613.000000,-270461.000000,-408988.000000,-678.000000,-430865.000000
10:00:01.615,-547052.000000,-554507.000000,-440482.000000,634.000000,-485818.000000,-306557.000000,-270408.000000,-409007.000000,-698.000000,-430964.000000
10:00:01.715,-547095.000000,-554366.000000,-440499.000000,661.000000,-485975.000000,-306542.000000,-270346.000000,-409063.000000,-684.000000,-431047.000000
10:00:01.805,-547170.000000,-554222.000000,-440621.000000,645.000000,-486173.000000,-306553.000000,-270318.000000,-409035.000000,-679.000000,-431066.000000
10:00:01.905,-547324.000000,-554113.000000,-440566.000000,676.000000,-486299.000000,-306593.000000,-270309.000000,-409034.000000,-686.000000,-431029.000000
10:00:02.006,-547545.000000,-553948.000000,-440597.000000,698.000000,-486377.000000,-306658.000000,-270290.000000,-408985.000000,-657.000000,-431052.000000
10:00:02.096,-547747.000000,-553782.000000,-440608.000000,686.000000,-486331.000000,-306794.000000,-270238.000000,-408886.000000,-682.000000,-430998.000000
