rpm, pressure (Pa), angle (rad), samples, force_1 (N), force_2 (N), force_3 (N), force_5 (N), force_6 (N), force_7 (N), force_8 (N), force_10 (N), std_1 (N), std_2 (N), std_3 (N), std_5 (N), std_6 (N), std_7 (N), std_8 (N), std_10 (N)
0.0, 0.0, -2.356194490192345, 20.0, 0.22508186983840725, 0.2320995987688474, 0.2558784441019924, 0.030180696131663676, 0.04745214787190462, 0.18972102318145484, 0.08901292297821296, 0.22300119261978815, 0.0005389735532990893, 0.0001396491551624139, 0.00023107370833727698, 0.0004171250447854744, 0.000380757061579673, 0.0002481877541503573, 8.500519079337916e-05, 0.0002635533694287238
700.0, -88.0, -2.356194490192345, 356.0, 0.010291105621689613, 0.785537240629964, 0.23969144814991253, 0.25308316094921507, 0.0015174536144923706, 0.5539394501205758, -0.006398355182729213, 0.1123596058164631, 0.009598106716761973, 0.003308455675071438, 0.00041448586450490405, 0.005278838254746637, 0.0023832421275454935, 0.0033929678048803167, 9.748943919571413e-05, 0.004905725451606316
600.0, -62.0, -2.356194490192345, 264.0, 0.024540066692753968, 0.7488062980771573, 0.24012310126262515, 0.17953425566175926, 0.0013463951685575638, 0.4976822225238677, -0.006493282377778515, 0.13163122766595528, 0.006691580968321933, 0.0017246511101567414, 0.00025427369803569604, 0.005030204646883848, 0.0011404587611328707, 0.0014130574113229426, 4.675744264055136e-05, 0.0036015515333985225
500.0, -39.0, -2.356194490192345, 389.0, 0.060770581412375825, 0.6533500654321723, 0.24255591650335742, 0.0919687132439426, 0.003913772448257764, 0.4248306790465064, -0.006302688402205099, 0.15649826653403343, 0.0032008600476459456, 0.001397065711185795, 0.00012403211112409508, 0.0029994856263811454, 0.0007067097208302864, 0.0008496519344714966, 5.812910135109802e-05, 0.002684581550232938
400.0, -21.0, -2.356194490192345, 361.0, 0.078391876194604, 0.490742328126107, 0.2472970656224758, 0.005758251194440978, 0.02859576154099559, 0.31965859798349167, -0.006006832849462887, 0.17258611061118953, 0.0013867109082128617, 0.0008214912528054899, 0.00014553227539002456, 0.0008202209118092023, 0.0007289917216826168, 0.0011139037674636107, 0.0002498728650709562, 0.002383732086339314
300.0, -6.0, -2.356194490192345, 319.0, 0.10758314547640517, 0.3646692809191841, 0.25184238007803533, 0.002465283131601264, 0.031496345205428655, 0.23659295313749, 0.03736846669961922, 0.18468042028155182, 0.0017613029040252632, 0.0009292975711546038, 0.00011883387676282942, 4.554473937330747e-05, 0.0007254984152739257, 0.0007158523095113955, 0.0011217869598273214, 0.0010848079383607104
700.0, -90.0, -2.356194490192345, 376.0, 0.006985132123374838, 0.9101837644870012, 0.236380524858506, 0.09399882430036234, -0.0007476631089960047, 0.5947001250063779, -0.0066723223522666365, 0.2106623097940604, 0.009180896589141691, 0.006393974262551363, 0.00021319043503505836, 0.0022254666838518664, 0.0001535062710777447, 0.0030310291777243753, 2.877962416152709e-05, 0.008754064557019506
0.0, 0.0, -1.5707963267948966, 20.0, 0.258150307011894, 0.27324230837011626, 0.327729652338328, 0.07646732087330345, 0.04736128180135893, 0.21561562178828364, 0.105653750662538, 0.2726743134641318, 8.004450265204361e-05, 4.5080885187023794e-05, 6.657717432111395e-05, 0.00012073637596499398, 0.00011150832069617567, 0.00019090883440445078, 3.858206899039793e-05, 6.18497977260558e-05
700.0, -110.0, -1.5707963267948966, 459.0, 0.6941105856562251, 0.6336489520537949, 0.5093610747988411, 0.06607797829941708, -0.000948528368565643, 0.646573452542314, 0.011004847367616718, 0.021127918893720597, 0.002664153823943266, 0.0031644261645918594, 0.0022922799972552527, 0.0042602836018844166, 2.447134894497083e-05, 0.0024258702158385793, 0.0011264799548410772, 0.002586937989492995
600.0, -75.0, -1.5707963267948966, 312.0, 0.6546419939098345, 0.599820204704919, 0.46007299528771717, 0.041256521367523474, -0.0009828854076728497, 0.6145251364403685, 0.016974406269242792, 0.04271885820794439, 0.005286642391719475, 0.0028955391810142933, 0.0023060289460784924, 0.0016782407894644804, 2.6850713357920852e-05, 0.0024384460139781146, 0.0019548398526345327, 0.0011266752435162375
