rpm, pressure (Pa), angle (rad), samples, force_1 (N), force_2 (N), force_3 (N), force_5 (N), force_6 (N), force_7 (N), force_8 (N), force_10 (N), std_1 (N), std_2 (N), std_3 (N), std_5 (N), std_6 (N), std_7 (N), std_8 (N), std_10 (N)
0.0, 0.0, -1.5707963267948966, 20.0, 0.31451017647816565, 0.09701605334448092, 0.09965128182709086, 0.08945012867532334, 0.16266732352982724, 0.2070360854173804, 0.26301175830613444, 0.3389076226332733, 0.00034331583918258856, 0.0001405933675360453, 0.00022182896713269007, 9.897976821773556e-05, 0.0001547279207551372, 0.00011534380203636627, 0.00019884846784837585, 0.00014393774120766029
700.0, -109.0, -1.5707963267948966, 719.0, 0.39184567240256485, 0.34290671290319497, 0.39769966273939766, 0.08324322313023068, 0.06601364065229572, 0.34913101629807264, 0.34873551410043613, 0.06684033347883815, 0.0015949209012381506, 0.006382226513025241, 0.009728659607297262, 0.0019269256738269685, 0.005583610994839678, 0.0017023243646179522, 0.0036259276977695233, 0.0022520479853681144
600.0, -75.0, -1.5707963267948966, 472.0, 0.37887206410996965, 0.3490042172303985, 0.30968619911774736, 0.0809167319584117, 0.08980401797949555, 0.3277359068347859, 0.3147946739640654, 0.07257809934187143, 0.0010248860243769475, 1.1102230246251565e-16, 0.0013258877251904949, 0.0011271296372159865, 0.0009438534640084636, 0.000764698064369493, 0.0016443289007987858, 0.0015122248588066132
500.0, -48.0, -1.5707963267948966, 339.0, 0.35636713431991374, 0.3490042172303985, 0.20789659641685457, 0.07565076392132676, 0.09255964367354774, 0.29894995297879345, 0.271768138977911, 0.07970187428384351, 0.0011462258333858571, 0.0, 0.0011821985344948468, 0.0007333355687134414, 0.0006427632318290616, 0.0005411453350522211, 0.0012371923241181369, 0.001363348126273619
400.0, -26.0, -1.5707963267948966, 521.0, 0.3326403341636466, 0.3490042172303985, 0.1247421714766772, 0.06707462210867685, 0.09793628549119093, 0.2681192302862691, 0.24093280401636713, 0.09801308790685685, 0.0010216050981166555, 1.1102230246251565e-16, 0.0012719381607939446, 0.0006451048778995205, 0.000547455794437391, 0.0010580105159884805, 0.0009418990262377169, 0.002418910729375215
300.0, -8.0, -1.5707963267948966, 452.0, 0.32294452837875404, 0.3490042172303985, 0.09887359121848191, 0.05914125635672581, 0.1119927828779821, 0.24107815557708356, 0.22223772131633024, 0.14471523937649264, 0.0004330052367927516, 1.1102230246251565e-16, 0.00016412556780672014, 0.0004805929764352782, 0.0013527382847579737, 0.0008706323563491523, 0.0004594749951621122, 0.0009502332448593728
700.0, -106.0, -1.5707963267948966, 300.0, 0.380990052195517, 0.3490042172303985, 0.369859204940256, 0.07946979602594186, 0.0634067372576924, 0.34936688257367526, 0.35035990167514264, 0.042847519780466595, 0.0013286661239380584, 0.0, 0.0018740757137302388, 0.0016076055086666453, 0.008632625388953038, 0.0014472587412537813, 0.004170838384556455, 0.015832853587372634
0.0, 0.0, -0.7853981633974483, 20.0, 0.3308150128100534, 0.09843015750064549, 0.09945262321897622, 0.16845134384028843, 0.3238068045373, 0.20726550188420692, 0.30310643150054395, 0.36196700418586164, 0.00012196111191304839, 0.00016015487944498697, 0.00021807088320682701, 4.358746999497615e-05, 0.00016886763637474138, 3.472459996741763e-05, 9.748868121288828e-05, 0.00022319494232768406
700.0, -85.0, -0.7853981633974483, 352.0, 0.5857312051538149, 0.18825929591245363, 0.35974955045043816, 0.08526813901483872, 0.09502943789008565, 0.16447489487163808, 0.7196422994136791, 0.10369315091234453, 0.00198020337489804, 0.002790859806378437, 0.0016715475357109712, 0.002291469156371646, 0.0005991427268655885, 0.00173695344582459, 0.0023200964290276396, 0.0020085767786314243
600.0, -61.0, -0.7853981633974483, 223.0, 0.5524071047490231, 0.16883734154648175, 0.3234640377553362, 0.09062795645781248, 0.09583437513243209, 0.1734482164268585, 0.6564628152721985, 0.1452378297242944, 0.0004982241595319777, 0.002213911599911232, 0.0010307812506261088, 0.000910098228842959, 0.0004573806213905778, 0.001292784932834546, 0.0012117407164821757, 0.001425175040249374
500.0, -36.0, -0.7853981633974483, 338.0, 0.4785340177310341, 0.1308661989656348, 0.2463400976152707, 0.09049830925306714, 0.09687421736151401, 0.18745347320963288, 0.5304415814285443, 0.20973983208680455, 0.0016897161797719727, 0.00474860473525492, 0.0012695557670877593, 0.0008773897547047852, 0.0015136837802229971, 0.0013531442023890837, 0.002498469728812204, 0.0013632265635911047
400.0, -19.0, -0.7853981633974483, 402.0, 0.42378837781859974, 0.10391017792581972, 0.18069998878049695, 0.09535855228106678, 0.1000994175248967, 0.19519263398214431, 0.4354513272599615, 0.2661665293081395, 0.0009726854897018849, 0.0003180477258038878, 0.0012671961311783923, 0.00040744656010617184, 0.0021345114812353636, 0.0010472020549320308, 0.0006648808635923956, 0.0011845871747619197
300.0, -5.0, -0.7853981633974483, 208.0, 0.3807913648372098, 0.10004568906480929, 0.1230387039646187, 0.09881834670569865, 0.14210744898437133, 0.19749882390738127, 0.37125263129864927, 0.3157317895551391, 0.0005233910874582825, 0.0009965556572045717, 0.0005010745845170567, 0.00036640379672577743, 0.000707202817660864, 0.00047805699470690547, 0.00038483352566598183, 0.00034299883495004634
700.0, -86.0, -0.7853981633974483, 374.0, 0.588976545436329, 0.14910620420575496, 0.3766191620125979, 0.07288923496003906, 0.09146928112330663, 0.1622296829203304, 0.6914198437805116, 0.09870579363780216, 0.0014581234210293422, 0.002797194773502063, 0.0018270560060903583, 0.004056437479700568, 0.0012305239585316857, 0.0016710486739163473, 0.0020025038571970873, 0.0020529934678290554
0.0, 0.0, 0.0, 20.0, 0.3405397397913178, 0.16781966319534095, 0.10826886856035353, 0.19765950416863995, 0.3564563291943891, 0.2241100833618819, 0.3083816288671297, 0.3878838793661187, 0.00017002917898115903, 0.00010883052840978453, 0.00029468125561220537, 6.805869502697836e-05, 0.0002755178506657792, 0.00011297910711672927, 0.0002397079923954164, 0.00022812828949610178
700.0, -114.0, 0.0, 472.0, 0.5966876542174318, 0.09901201411190062, 0.11419252762154589, 0.017580305586555666, 0.3954938026934123, 0.07906293823292318, 0.7978919286460056, 0.32426544622584014, 0.0010577197348618395, 0.00039424713746859735, 0.0014680581438493664, 0.002915535144169796, 0.0013951652312914186, 0.0009839190517989735, 0.002311691189653816, 0.0026225166696575222
600.0, -80.0, 0.0, 442.0, 0.5692808141337616, 0.09967122816077115, 0.11757529160499186, 0.056615566971502496, 0.38767304850226303, 0.0971297724799844, 0.7318866809221358, 0.32341391360192023, 0.0023372518289913793, 0.0, 0.001040037475362993, 0.0008900153372417013, 0.0010918827597919966, 0.0005582650852138426, 0.004191895094566755, 0.000579946466571563
500.0, -50.0, 0.0, 278.0, 0.5038056177705382, 0.09967122816077115, 0.12725286682137726, 0.093772482259156, 0.3705728493826215, 0.1152955399121563, 0.5890959741985877, 0.3280745166512068, 0.0011815604902344094, 1.3877787807814457e-17, 0.0005590085446451152, 0.0003934314547210575, 0.0006519579763836484, 0.0009718037319330252, 0.001352320302820797, 0.00042909568969246725
400.0, -26.0, 0.0, 320.0, 0.4405178015800114, 0.09967122816077115, 0.13505445099624838, 0.09837540297779063, 0.3421539778077814, 0.16047023564948665, 0.4187663496652049, 0.3434169340062591, 0.0018927194980594441, 2.7755575615628914e-17, 0.001654867650154411, 0.00044309543297834264, 0.0022361261068734664, 0.0008468596086717401, 0.001816390718828294, 0.0005751393886911141
300.0, -8.0, 0.0, 616.0, 0.40183845619480907, 0.09967122816077115, 0.13646275850122638, 0.12148702497667467, 0.3364965428742727, 0.18737851080561807, 0.3390905690079651, 0.35504232138304326, 0.0014826315342658218, 1.3877787807814457e-17, 0.000562840969710344, 0.0008381591664925973, 0.0005289348605302099, 0.000503083773734686, 0.0009635152706276243, 0.0007179691876203294
700.0, -116.0, 0.0, 390.0, 0.5927712942314183, 0.09967122816077115, 0.11769963025075912, 0.004245437540087951, 0.38462809953408833, 0.0724419584536974, 0.7758851284840368, 0.30601118261221233, 0.001440286956533025, 0.0, 0.0016144135658794929, 0.00023315117515733963, 0.0010659697862425367, 0.000982196978413824, 0.00241628390840052, 0.0022354897042352255
0.0, 0.0, 1.5707963267948966, 20.0, 0.21026439520803814, 0.08230890290533978, 0.09628669063830872, 0.013862168720699288, 0.0952780720713085, 0.1736306954436451, 0.04782279549195191, 0.16498300711674424, 0.00024124182239222407, 0.00034383794331924444, 0.00025843864063847016, 0.00018035889062628213, 0.000407651420887411, 0.0008180474939271739, 0.00036564676726628915, 0.0008190484204216537
