Team Name: ,06 October 2022
Elasped Time,Strain 1,Strain 2,Strain 3,Strain 4,Strain 5,Strain 6,Strain 7,Strain 8,Strain 9,Strain 10
10:00:00.051,-280168.000000,-95261.000000,-125846.000000,1661.000000,-17500.000000,-128709.000000,-216901.000000,-65887.000000,-865.000000,-203056.000000
10:00:00.141,-279735.000000,-95147.000000,-125240.000000,1639.000000,-17461.000000,-128460.000000,-217068.000000,-65748.000000,-875.000000,-203005.000000
10:00:00.241,-279471.000000,-95450.000000,-125633.000000,1686.000000,-18097.000000,-128570.000000,-217554.000000,-65249.000000,-909.000000,-202910.000000
10:00:00.340,-279303.000000,-95532.000000,-125190.000000,1616.000000,-17818.000000,-128846.000000,-218372.000000,-65724.000000,-885.000000,-202990.000000
10:00:00.439,-279228.000000,-95576.000000,-125640.000000,1653.000000,-18103.000000,-129266.000000,-218523.000000,-66505.000000,-916.000000,-203020.000000
10:00:00.529,-279323.000000,-95786.000000,-125502.000000,1677.000000,-18089.000000,-129351.000000,-218221.000000,-66301.000000,-917.000000,-202635.000000
10:00:00.630,-279690.000000,-96129.000000,-126138.000000,1653.000000,-18591.000000,-129302.000000,-217900.000000,-65754.000000,-856.000000,-202044.000000
10:00:00.730,-280017.000000,-96336.000000,-125538.000000,1655.000000,-17999.000000,-128802.000000,-217997.000000,-65268.000000,-860.000000,-201742.000000
10:00:00.820,-280196.000000,-96046.000000,-125910.000000,1697.000000,-18236.000000,-128954.000000,-217969.000000,-65460.000000,-836.000000,-201462.000000
10:00:00.921,-280338.000000,-96013.000000,-125526.000000,1723.000000,-18000.000000,-128873.000000,-217998.000000,-64882.000000,-861.000000,-201476.000000
10:00:01.019,-280273.000000,-96132.000000,-126408.000000,1735.000000,-18109.000000,-128782.000000,-217988.000000,-65177.000000,-864.000000,-201627.000000
10:00:01.121,-280112.000000,-96004.000000,-125715.000000,1746.000000,-17980.000000,-128615.000000,-217979.000000,-64701.000000,-927.000000,-201490.000000
10:00:01.210,-280061.000000,-95849.000000,-126364.000000,1771.000000,-17912.000000,-128441.000000,-217814.000000,-65127.000000,-947.000000,-201259.000000
10:00:01.310,-280005.000000,-95757.000000,-125865.000000,1776.000000,-17982.000000,-128188.000000,-217531.000000,-64829.000000,-882.000000,-201106.000000
10:00:01.409,-280025.000000,-95738.000000,-126090.000000,1723.000000,-18084.000000,-128101.000000,-217074.000000,-64611.000000,-853.000000,-200938.000000
10:00:01.510,-279872.000000,-95666.000000,-125873.000000,1731.000000,-18156.000000,-128093.000000,-216479.000000,-64834.000000,-843.000000,-200792.000000
10:00:01.599,-279814.000000,-95605.000000,-126395.000000,1652.000000,-18027.000000,-128075.000000,-216060.000000,-64878.000000,-818.000000,-200607.000000
10:00:01.700,-279765.000000,-95357.000000,-126031.000000,1608.000000,-17966.000000,-127793.000000,-215798.000000,-65032.000000,-859.000000,-200423.000000
10:00:01.801,-279701.000000,-95139.000000,-126107.000000,1648.000000,-17853.000000,-127643.000000,-215652.000000,-65054.000000,-853.000000,-200267.000000
10:00:01.889,-279606.000000,-94948.000000,-125945.000000,1707.000000,-17874.000000,-127545.000000,-215370.000000,-65167.000000,-865.000000,-200161.000000
10:00:01.990,-279514.000000,-94858.000000,-126027.000000,1689.000000,-17756.000000,-127523.000000,-215204.000000,-65255.000000,-892.000000,-200091.000000
10:00:02.090,-279466.000000,-94796.000000,-125839.000000,1664.000000,-17750.000000,-127373.000000,-215148.000000,-65271.000000,-860.000000,-200025.000000
10:00:02.189,-279609.000000,-94761.000000,-126003.000000,1653.000000,-17711.000000,-127247.000000,-214962.000000,-65187.000000,-856.000000,-199904.000000
10:00:02.280,-279906.000000,-94720.000000,-125918.000000,1673.000000,-17609.000000,-127080.000000,-214576.000000,-65105.000000,-819.000000,-199661.000000
10:00:02.380,-280155.000000,-94740.000000,-125939.000000,1637.000000,-17499.000000,-126977.000000,-214005.000000,-65060.000000,-793.000000,-199236.000000
10:00:02.480,-280309.000000,-94768.000000,-125775.000000,1618.000000,-17499.000000,-126839.000000,-213389.000000,-65003.000000,-762.000000,-198918.000000
10:00:02.580,-280114.000000,-94719.000000,-125804.000000,1710.000000,-17433.000000,-126624.000000,-212848.000000,-64999.000000,-776.000000,-198735.000000
10:00:02.670,-279931.000000,-94647.000000,-125769.000000,1672.000000,-17410.000000,-126657.000000,-212450.000000,-65110.000000,-826.000000,-198548.000000
10:00:02.770,-279256.000000,-94630.000000,-125924.000000,1675.000000,-17393.000000,-126603.000000,-212110.000000,-65137.000000,-806.000000,-198362.000000
10:00:02.869,-278822.000000,-94671.000000,-125891.000000,1704.000000,-17412.000000,-126441.000000,-211815.000000,-65083.000000,-810.000000,-198225.000000
10:00:02.959,-278606.000000,-94724.000000,-125898.000000,1722.000000,-17283.000000,-126492.000000,-211683.000000,-65175.000000,-817.000000,-198113.000000
10:00:03.060,-278496.000000,-94812.000000,-125878.000000,1689.000000,-17298.000000,-126567.000000,-211536.000000,-65183.000000,-796.000000,-197964.000000
10:00:03.159,-278540.000000,-94822.000000,-125968.000000,1698.000000,-17340.000000,-126715.000000,-211473.000000,-65148.000000,-797.000000,-197931.000000
10:00:03.250,-278527.000000,-94807.000000,-125914.000000,1708.000000,-17422.000000,-126723.000000,-211516.000000,-65186.000000,-821.000000,-197809.000000
10:00:03.350,-278363.000000,-94861.000000,-125977.000000,1701.000000,-17444.000000,-126680.000000,-211595.000000,-65282.000000,-860.000000,-197726.000000
